Shooting and Scoring,,,,FG%,,2pt%,,3pt%,,FT%,,Assist,,2nd chance pts,,Fast break pts,,Points off TO,
,,FGA,FGM,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us ,Them
vs. Homedale Nov 27,Win,76,41,28 - 58 (48)%,10 - 42 (24)%,22 - 40 (55)%,6 - 22 (27)%,6 - 18 (33)%,4 - 20 (20)%,14 - 21 (67)%,17 - 27 (63)%,14,6,16,5,15,0,27,8
vs. Nyssa Nov 30,Loss,50,57,18 - 58 (31)%,22 - 61 (36)%,10 - 38 (26)%,15 - 38 (39)%,8 - 20 (40)%,7 - 23 (30)%,6 - 9 (67)%,6 - 13 (46)%,11,16,11,8,5,10,7,19
at Homedale Dec 06,Win,55,42,24 - 53 (45)%,15 - 57 (26)%,21 - 39 (54)%,9 - 33 (27)%,3 - 14 (21)%,6 - 24 (25)%,4 - 8 (50)%,6 - 7 (86)%,14,9,6,12,12,4,17,3
at Firth Dec 07,Loss,60,66,26 - 59 (44)%,23 - 42 (55)%,22 - 42 (52)%,18 - 29 (62)%,4 - 17 (24)%,5 - 13 (38)%,4 - 10 (40)%,15 - 26 (58)%,12,13,7,2,12,7,13,13
at South Fremont Dec 08,Win,62,59,27 - 50 (54)%,21 - 58 (36)%,21 - 35 (60)%,15 - 33 (45)%,6 - 15 (40)%,6 - 25 (24)%,2 - 7 (29)%,11 - 15 (73)%,20,12,10,9,11,5,9,10
at Parma Dec 11,Loss,54,59,22 - 53 (42)%,24 - 53 (45)%,16 - 37 (43)%,21 - 43 (49)%,6 - 16 (38)%,3 - 10 (30)%,4 - 5 (80)%,8 - 9 (89)%,10,13,14,12,6,2,14,14
at Ambrose Dec 14,Win,62,45,25 - 54 (46)%,15 - 47 (32)%,22 - 43 (51)%,8 - 24 (33)%,3 - 11 (27)%,7 - 23 (30)%,9 - 16 (56)%,8 - 10 (80)%,13,6,5,4,24,5,15,12
at Nyssa Dec 15,Loss,65,69,25 - 62 (40)%,26 - 62 (42)%,19 - 39 (49)%,18 - 38 (47)%,6 - 23 (26)%,8 - 24 (33)%,9 - 14 (64)%,9 - 15 (60)%,10,16,19,13,12,17,13,16
vs. Payette Dec 18,Win,52,15,23 - 58 (40)%,5 - 30 (17)%,20 - 47 (43)%,4 - 19 (21)%,3 - 11 (27)%,1 - 11 (9)%,3 - 9 (33)%,4 - 7 (57)%,16,1,6,4,18,1,30,5
at McCall Jan 04,Win,54,47,23 - 61 (38)%,17 - 44 (39)%,20 - 41 (49)%,13 - 34 (38)%,3 - 20 (15)%,4 - 10 (40)%,5 - 9 (56)%,9 - 24 (38)%,17,11,8,4,9,10,29,8
at Payette Jan 05,Win,63,25,28 - 66 (42)%,10 - 42 (24)%,23 - 51 (45)%,10 - 32 (31)%,5 - 15 (33)%,0 - 10 (0)%,2 - 4 (50)%,5 - 15 (33)%,19,5,16,6,21,5,27,6
at New Plymouth Jan 09,Win,51,34,20 - 53 (38)%,10 - 46 (22)%,18 - 37 (49)%,9 - 29 (31)%,2 - 16 (13)%,1 - 17 (6)%,9 - 18 (50)%,13 - 18 (72)%,14,7,12,4,11,2,18,1
vs. Melba Jan 12,Win,67,30,25 - 51 (49)%,9 - 50 (18)%,17 - 36 (47)%,6 - 37 (16)%,8 - 15 (53)%,3 - 13 (23)%,9 - 15 (60)%,9 - 16 (56)%,13,4,16,1,4,8,11,11
vs. Nampa Christian Jan 18,Win,62,43,26 - 63 (41)%,20 - 57 (35)%,20 - 44 (45)%,19 - 46 (41)%,6 - 19 (32)%,1 - 11 (9)%,4 - 10 (40)%,2 - 11 (18)%,20,11,11,8,16,14,12,13
at Marsing Jan 22,Loss,38,42,16 - 55 (29)%,15 - 55 (27)%,12 - 41 (29)%,12 - 38 (32)%,4 - 14 (29)%,3 - 17 (18)%,2 - 3 (67)%,9 - 16 (56)%,10,12,9,12,0,2,0,6
vs. McCall Jan 25,Win,75,64,26 - 56 (46)%,23 - 52 (44)%,15 - 34 (44)%,18 - 36 (50)%,11 - 22 (50)%,5 - 16 (31)%,12 - 18 (67)%,13 - 18 (72)%,24,12,8,16,0,3,12,7
vs. New Plymouth Jan 30,Loss,40,42,14 - 43 (33)%,16 - 37 (43)%,12 - 26 (46)%,8 - 21 (38)%,2 - 17 (12)%,8 - 16 (50)%,10 - 14 (71)%,2 - 3 (67)%,10,10,14,7,11,2,12,6
at Melba Feb 01,Win,65,43,26 - 53 (49)%,16 - 60 (27)%,18 - 35 (51)%,13 - 51 (25)%,8 - 18 (44)%,3 - 9 (33)%,5 - 13 (38)%,8 - 17 (47)%,17,8,13,2,9,4,10,9
at Nampa Christian Feb 06,Win,60,57,23 - 46 (50)%,24 - 48 (50)%,14 - 24 (58)%,19 - 35 (54)%,9 - 22 (41)%,5 - 13 (38)%,5 - 9 (56)%,4 - 9 (44)%,17,19,6,6,6,7,12,17
vs. Marsing Feb 08,Win,56,45,21 - 51 (41)%,16 - 47 (34)%,17 - 38 (45)%,12 - 30 (40)%,4 - 13 (31)%,4 - 17 (24)%,10 - 15 (67)%,9 - 14 (64)%,5,4,11,4,7,0,15,5
vs. Melba Feb 18,Win,57,47,22 - 46 (48)%,19 - 49 (39)%,16 - 30 (53)%,13 - 33 (39)%,6 - 16 (38)%,6 - 16 (38)%,7 - 10 (70)%,3 - 6 (50)%,18,13,7,4,8,8,15,13
at Marsing Feb 21,Win,59,49,24 - 47 (51)%,17 - 47 (36)%,17 - 32 (53)%,13 - 35 (37)%,7 - 15 (47)%,4 - 12 (33)%,4 - 11 (36)%,11 - 14 (79)%,20,13,2,8,7,9,9,7
vs. Bear Lake Feb 28,Win,58,52,21 - 50 (42)%,17 - 40 (43)%,15 - 29 (52)%,11 - 23 (48)%,6 - 21 (29)%,6 - 17 (35)%,10 - 26 (38)%,12 - 17 (71)%,16,11,12,1,13,9,12,12
,,,,,,,,,,,,,,,,,,,
Defense and Rebounding,,OR,,DR,,TR,,Steal,,Deflections,,Blocks,,Turnovers,,Fouls,,Technicals,
,,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them,Us,Them
vs. Homedale Nov 27,Win,16,7,30,18,46,25,12,5,9,4,4,1,14,19,19,18,1,0
vs. Nyssa Nov 30,Loss,17,13,31,24,48,37,10,16,4,12,5,3,24,16,13,13,0,0
at Homedale Dec 06,Win,7,15,27,23,34,38,8,5,10,11,1,0,16,19,11,12,0,1
at Firth Dec 07,Loss,10,6,16,26,26,32,12,8,7,1,2,1,15,20,21,16,0,0
at South Fremont Dec 08,Win,10,14,23,17,33,31,9,9,7,5,4,1,17,12,15,14,0,0
at Parma Dec 11,Loss,15,11,18,14,33,25,11,9,2,5,4,1,20,14,13,10,0,0
at Ambrose Dec 14,Win,12,6,28,20,40,26,11,12,5,10,4,2,16,20,13,18,0,0
at Nyssa Dec 15,Loss,16,17,23,21,39,38,9,7,12,14,5,1,16,18,16,15,0,0
vs. Payette Dec 18,Win,19,8,19,18,38,26,26,7,11,6,6,4,20,38,13,9,0,0
at McCall Jan 04,Win,15,12,23,23,38,35,10,9,17,15,2,4,15,19,20,12,0,0
at Payette Jan 05,Win,21,15,22,16,43,31,18,8,12,8,5,4,14,26,15,8,0,0
at New Plymouth Jan 09,Win,17,13,25,18,42,31,10,8,12,6,3,0,16,18,19,17,0,1
vs. Melba Jan 12,Win,16,11,33,14,49,25,7,11,9,5,4,1,17,11,13,16,0,1
vs. Nampa Christian Jan 18,Win,19,16,24,20,43,36,12,8,9,9,4,7,13,17,12,14,0,0
at Marsing Jan 22,Loss,18,22,24,21,42,43,2,7,7,17,3,4,11,6,15,13,0,0
vs. McCall Jan 25,Win,18,18,14,16,32,34,7,4,10,5,6,7,10,14,16,15,0,0
vs. New Plymouth Jan 30,Loss,12,8,13,19,25,27,7,6,10,3,3,1,9,15,8,12,0,1
at Melba Feb 01,Win,15,18,31,16,46,34,7,13,3,1,8,2,21,15,17,17,0,0
at Nampa Christian Feb 06,Win,12,13,13,13,25,26,11,13,9,11,2,0,18,17,13,13,0,0
vs. Marsing Feb 08,Win,15,12,21,17,36,29,10,4,10,7,3,3,12,15,14,12,0,0
vs. Melba Feb 18,Win,9,11,20,17,29,28,9,6,11,7,5,2,15,15,11,12,0,0
at Marsing Feb 21,Win,8,7,23,19,31,26,7,9,6,12,8,3,10,8,15,13,0,0
vs. Bear Lake Feb 28,Win,13,3,21,19,34,22,9,5,4,8,2,2,11,13,16,21,0,1
